algorithm_name,input_size,run_number,time_ns,average_time_ns
RedBlackTree_Insert,500,3,212300,311166
BST_Search,500,3,133100,156966
RedBlackTree_Search,500,3,129800,211800
BST_Insert,1000,1,319900,295400
RedBlackTree_Insert,1000,1,368200,318700
BST_Search,1000,1,330200,312633
RedBlackTree_Search,1000,1,292800,276533
BST_Insert,1000,2,290800,295400
RedBlackTree_Insert,1000,2,320100,318700
BST_Search,1000,2,313800,312633
RedBlackTree_Search,1000,2,259900,276533
BST_Insert,1000,3,275500,295400
RedBlackTree_Insert,1000,3,267800,318700
BST_Search,1000,3,293900,312633
RedBlackTree_Search,1000,3,276900,276533
BST_Insert,2000,1,601600,578366
RedBlackTree_Insert,2000,1,883000,658333
BST_Search,2000,1,642900,634300
RedBlackTree_Search,2000,1,606400,567966
BST_Insert,2000,2,559000,578366
RedBlackTree_Insert,2000,2,540900,658333
BST_Search,2000,2,619500,634300
RedBlackTree_Search,2000,2,548900,567966
BST_Insert,2000,3,574500,578366
RedBlackTree_Insert,2000,3,551100,658333
BST_Search,2000,3,640500,634300
RedBlackTree_Search,2000,3,548600,567966
Heap_InsertAll,100,1,311000,163066
Heap_ExtractAll,100,1,800700,392366
Heap_InsertAll,100,2,114000,163066
Heap_ExtractAll,100,2,162300,392366
Heap_InsertAll,100,3,64200,163066
Heap_ExtractAll,100,3,214100,392366
Heap_InsertAll,1000,1,683900,638166
Heap_ExtractAll,1000,1,2947000,2782500
Heap_InsertAll,1000,2,631200,638166
Heap_ExtractAll,1000,2,2694700,2782500
Heap_InsertAll,1000,3,599400,638166
Heap_ExtractAll,1000,3,2705800,2782500
Heap_InsertAll,5000,1,2994100,2833766
Heap_ExtractAll,5000,1,4465100,2712800
Heap_InsertAll,5000,2,2995900,2833766
Heap_ExtractAll,5000,2,1811500,2712800
Heap_InsertAll,5000,3,2511300,2833766
Heap_ExtractAll,5000,3,1861800,2712800
Heap_InsertAll,10000,1,2465000,1620166
Heap_ExtractAll,10000,1,3781400,3341033
Heap_InsertAll,10000,2,1809700,1620166
Heap_ExtractAll,10000,2,3703500,3341033
Heap_InsertAll,10000,3,585800,1620166
Heap_ExtractAll,10000,3,2538200,3341033
Heap_InsertAll,20000,1,1218400,1422600
Heap_ExtractAll,20000,1,6873000,7520333
Heap_InsertAll,20000,2,1168700,1422600
Heap_ExtractAll,20000,2,8366400,7520333
Heap_InsertAll,20000,3,1880700,1422600
Heap_ExtractAll,20000,3,7321600,7520333
